id|geometry:1|length
segment.8b1e76883d63fff-1799BC57A5D4CEEB|LINESTRING (24.018829 49.8534266, 24.0184178 49.8534328)|29,49
segment.881e76124bfffff-17BAF73A236341C3|LINESTRING (24.1070506 49.8143136, 24.1073228 49.8145477, 24.1077935 49.8147167, 24.1089862 49.8149085, 24.1095912 49.8149987)|203,94
segment.8a1e7689e22ffff-17BDE8A2441259F1|LINESTRING (24.003989 49.8098139, 24.0040054 49.8099169)|11,51
segment.891e7612653ffff-179ADD9A9FDE0F8A|LINESTRING (24.065092 49.7883006, 24.0649985 49.7884611, 24.0649915 49.7887344)|49,46
segment.871e768a8ffffff-17DB73E290D83B01|LINESTRING (24.0924498 49.9043597, 24.0914462 49.9043977, 24.090556 49.9044314, 24.0900879 49.9044491, 24.0877016 49.9045395, 24.0874359 49.9045496, 24.0870968 49.9045703, 24.0867943 49.9045887, 24.0866409 49.9045981, 24.0862128 49.904636, 24.0859842 49.9046783, 24.0851996 49.9048272, 24.0839958 49.904967, 24.0839024 49.9050122, 24.083795 49.9052829, 24.0838116 49.9058782, 24.0838599 49.9060425, 24.0839225 49.9068674, 24.083956 49.9073028)|875,59
segment.8a1e7689ca57fff-17F9B83450559D6C|LINESTRING (24.0236887 49.8341784, 24.0236494 49.8341265, 24.0234462 49.833844, 24.0234099 49.8338012, 24.0233147 49.8337523, 24.0232272 49.8337284)|62,02
segment.8a1e7689dc07fff-17DFDCC6EBC4117B|LINESTRING (24.0318207 49.8313369, 24.0318357 49.8313486, 24.0319635 49.8314548, 24.0319955 49.8314828)|20,51
segment.891e7689a67ffff-179F9D7A40E5F9E8|LINESTRING (24.0124424 49.7855019, 24.0125325 49.7859255, 24.0125617 49.7860628, 24.0125813 49.7864571, 24.0125884 49.786542)|116,28
segment.871e768d6ffffff-179BDBD83AE1E779|LINESTRING (24.1424222 49.8236129, 24.142769 49.8231318, 24.1430834 49.8226955, 24.1432552 49.8224432, 24.1434447 49.8221649)|176,94
segment.891e761308bffff-1799EDB2BC39D1DB|LINESTRING (24.0321438 49.7610396, 24.0323205 49.7618029, 24.0324207 49.7622904)|140,50
segment.891e768966bffff-17BE941978F49682|LINESTRING (23.9044816 49.8232918, 23.9044263 49.8232656, 23.9031912 49.8226264)|118,51
segment.891e7689e33ffff-17DFFD660DC091BA|LINESTRING (23.9992787 49.8127991, 23.9992931 49.8128448, 23.9993004 49.8128682, 23.9993447 49.813009, 23.9995927 49.8129781)|41,94
segment.8b1e76893b1bfff-179D28F47482490D|LINESTRING (23.9647639 49.8194339, 23.9648503 49.8193633)|10,00
segment.8c1e768803827ff-17B9BCEE4DC352E5|LINESTRING (24.0188015 49.8624776, 24.0188889 49.862498, 24.0189273 49.8625068)|9,58
segment.8b1e7688289dfff-17FDE47E3E9EC7D4|LINESTRING (23.9892233 49.8526762, 23.9891869 49.8528094, 23.9891498 49.8528573)|20,99
segment.8a1e768864effff-17DDB6A60F1A3D60|LINESTRING (23.9704733 49.8600303, 23.9703586 49.8600738)|9,54
segment.881e768831fffff-17BBF97147141E4B|LINESTRING (24.02406 49.8464007, 24.0240573 49.8463737, 24.0239346 49.8451385, 24.0239193 49.8449749)|158,86
segment.8b1e768b498dfff-17DEF8EE7E0D4D28|LINESTRING (23.9057955 49.9128106, 23.9057466 49.9128199, 23.9057048 49.9128386, 23.9056743 49.9128648, 23.9056582 49.9128959, 23.9056586 49.9129306, 23.905677 49.9129632, 23.9057111 49.91299, 23.9057572 49.913008, 23.9058099 49.913015, 23.9058633 49.9130103, 23.9059112 49.9129945, 23.9059482 49.9129693, 23.90597 49.9129376, 23.9059742 49.912903, 23.9059615 49.9128713, 23.9059339 49.9128437, 23.9058941 49.9128232, 23.9058464 49.9128118)|67,73
segment.8b1e768a2d68fff-17BD7A794AD7E303|LINESTRING (23.9721639 49.9089277, 23.9720109 49.9089335, 23.9719348 49.9089632, 23.9718151 49.9090379)|29,28
segment.891e76c6ca7ffff-17FB8CE1B6AF3759|LINESTRING (23.9516383 49.8018878, 23.9549784 49.8011921)|251,89
segment.881e7689bbfffff-179B44D1319015E1|LINESTRING (24.0531991 49.7963782, 24.0533226 49.7963086, 24.0543744 49.795749, 24.0549887 49.7954221, 24.05544 49.7951672, 24.0555679 49.7950899, 24.0563017 49.7946462, 24.0565043 49.7945246)|314,39
segment.851e76c7fffffff-17DD7BA489DE51CC|LINESTRING (23.9990823 49.7661968, 23.9991521 49.7672734, 23.9991264 49.7683378, 23.9990852 49.7686586, 23.999018 49.7688524, 23.998929 49.7690252, 23.9988588 49.7691558, 23.9984694 49.7696259, 23.9977387 49.7704629, 23.9975699 49.770745, 23.9976845 49.7710037)|561,36
segment.8a1e76880a57fff-17FDFE8CB023F60E|LINESTRING (24.0257653 49.8700876, 24.0263969 49.8701883)|46,63
segment.881e7689a9fffff-17FFA1D44A8BDA22|LINESTRING (24.0006975 49.8030426, 24.0006456 49.8028124, 24.001458 49.8027341, 24.0016685 49.8027138, 24.0018883 49.8029454)|130,29
segment.881e76883bfffff-17FFE49110C7F6E9|LINESTRING (24.0422712 49.8518195, 24.0422428 49.8518532, 24.0418442 49.8523267, 24.0417732 49.8524483, 24.0412635 49.8534388, 24.0411684 49.8536264, 24.0411234 49.8537111)|226,56
segment.861e768b7ffffff-17FAD2E60BEC3A1A|LINESTRING (23.9244617 49.8671585, 23.9261334 49.867067, 23.9271253 49.8670074, 23.9280604 49.8669512, 23.9288291 49.866905, 23.9290431 49.8668921, 23.9301346 49.8668266, 23.9304817 49.8668052, 23.9329818 49.866651, 23.9335341 49.866617, 23.9337341 49.8666047, 23.9346544 49.8665479)|733,69
segment.8a1e7689c0d7fff-17DBB8632E42A3B1|LINESTRING (24.010505 49.8264686, 24.0103946 49.8264568)|8,03
segment.881e768809fffff-17D9F5D8EFC8375A|LINESTRING (24.0108373 49.8751992, 24.0093984 49.8756362, 24.0079846 49.876087)|227,02
segment.871e76126ffffff-17FF6F32EBE399EE|LINESTRING (24.0718258 49.7856261, 24.0726186 49.7855138)|58,27
segment.891e7689b4fffff-17FDDF48DFA32F9C|LINESTRING (24.032138 49.7855463, 24.0322922 49.7854554, 24.0325328 49.7853318, 24.0327262 49.7852394, 24.03286 49.7852426, 24.0330052 49.7852824, 24.0331928 49.7853606, 24.0334536 49.7854793, 24.0337452 49.785608)|139,57
segment.8b1e7689c853fff-17F9DAAAD18CB21D|LINESTRING (24.0113564 49.8363814, 24.011411 49.8363283)|7,08
segment.8b1e76885681fff-17BBC939AE3AEB61|LINESTRING (24.0304095 49.8729604, 24.0304981 49.8729148)|8,13
segment.891e7688a13ffff-17BFFEC7F8C38480|LINESTRING (24.0784172 49.830524, 24.0784278 49.8304386, 24.0784427 49.8303871, 24.0784584 49.8303624, 24.0785625 49.8303326, 24.078643 49.8303326, 24.0787294 49.8303694, 24.078749 49.8304238, 24.0787763 49.8305235, 24.078747 49.8306582, 24.0786813 49.8307038, 24.0786115 49.8307164, 24.0785035 49.8307215, 24.0784348 49.8306911, 24.0784286 49.8306328)|104,64
segment.861e7688fffffff-17DBB0E5C3701F8A|LINESTRING (24.072658 49.8552367, 24.0730955 49.8547769, 24.0731158 49.8546658, 24.0730907 49.8545595, 24.0730077 49.8542078, 24.0729739 49.8541538, 24.0728961 49.8540884, 24.0725616 49.8539424)|168,53
segment.8a1e768865a7fff-17FD72B141D24E18|LINESTRING (23.9625017 49.8633096, 23.9619824 49.8635269)|44,38
segment.881e76136dfffff-17FD747F58FB1BC5|LINESTRING (23.9969223 49.7618392, 23.9967531 49.7614251, 23.99647 49.7613977, 23.9958329 49.7604192, 23.9953445 49.7596784, 23.9951534 49.7588828, 23.995203 49.7582014, 23.9949552 49.7581603, 23.9949326 49.758049)|471,99
segment.8a1e7689191ffff-17DF35E501BE3563|LINESTRING (23.9701978 49.8404128, 23.9701332 49.8404084, 23.9700551 49.8404031, 23.9700165 49.8404005)|13,07
segment.891e76899abffff-17FF75ED28B4A85B|LINESTRING (24.0677703 49.8130005, 24.0682634 49.8130147, 24.0690782 49.8130297)|93,90
segment.8b1e76883431fff-17F9E7CA485BDCD1|LINESTRING (24.0166887 49.8429403, 24.0167644 49.842932, 24.0168288 49.8429249)|10,19
segment.871e76890ffffff-17F8F7FBC8CE7FEE|LINESTRING (23.9356108 49.8264694, 23.9356739 49.8265092, 23.9360228 49.8267296, 23.9367819 49.8270774, 23.9377851 49.8274061, 23.9382625 49.8275186, 23.940909 49.827798)|417,68
segment.8c1e7688a6c4dff-17BAF7D1FA58DBA2|LINESTRING (24.0822555 49.8176389, 24.0823586 49.8176464)|7,44
segment.891e768994bffff-179FF0497EBB6B24|LINESTRING (24.0464521 49.803141, 24.0464412 49.803298, 24.04645 49.8035758, 24.0464556 49.8038903, 24.0464778 49.8041537)|112,68
segment.881e768967fffff-17DDE5AC4B5E0877|LINESTRING (23.9103846 49.8258106, 23.9106059 49.8258884, 23.9108489 49.8259739, 23.9115223 49.8261949, 23.9115545 49.8262459, 23.9112215 49.826681, 23.9105476 49.8264738, 23.9105235 49.8264393)|209,97
segment.891e768936fffff-179B1F01E144D3AA|LINESTRING (23.9604043 49.8026001, 23.9609199 49.8026117, 23.9609845 49.8026053, 23.9610169 49.8025874, 23.9610361 49.8025506)|49,09
segment.8a1e7689c6f7fff-17D99B6DB8E5F55B|LINESTRING (24.0122197 49.8193585, 24.0117501 49.8195577, 24.0115959 49.8196001, 24.01156 49.8196078, 24.0115248 49.8195958, 24.0114336 49.8195041, 24.0113883 49.8194888, 24.0113424 49.8194989, 24.0111741 49.8195497)|90,51
segment.8a1e768b3307fff-17FBEA526871DD8A|LINESTRING (23.9522822 49.8670894, 23.9521198 49.8671397, 23.9523106 49.8674011, 23.952329 49.8674257, 23.9524793 49.8673818)|59,90
segment.8a1e7689dd5ffff-17FDF52CD54F5515|LINESTRING (24.0352488 49.8328349, 24.0353474 49.8328669, 24.0353957 49.8328786, 24.0354501 49.8328852)|15,59
segment.8a1e76135967fff-17FF1BA6139AC266|LINESTRING (24.0576568 49.7853609, 24.0576583 49.7853418, 24.0576638 49.7850105)|38,97
segment.8a1e76882507fff-17FD4E94073FBD34|LINESTRING (23.9803373 49.8455538, 23.9802911 49.8456359, 23.9802548 49.8457003, 23.9800979 49.8459791)|50,31
segment.891e7688e63ffff-17BF995E815FCD22|LINESTRING (24.0634168 49.8381626, 24.0634467 49.8382099, 24.0632886 49.8384182, 24.0630795 49.8381735)|62,54
segment.8a1e7689118ffff-17BFF886C9108D82|LINESTRING (23.9711801 49.830717, 23.9711903 49.8303349)|42,49
segment.891e7689d8bffff-179FE0C1C34C1DD1|LINESTRING (24.0405259 49.8340643, 24.0404961 49.8340248, 24.0401057 49.8335762, 24.0397144 49.8331258, 24.0396563 49.8330594)|127,98
segment.881e7689bbfffff-17DBFBB782761588|LINESTRING (24.0495705 49.7990329, 24.0499284 49.798848, 24.0500327 49.7987941, 24.0503139 49.7986489, 24.050572 49.7985155, 24.0508882 49.7983485, 24.0511887 49.7981898, 24.0513423 49.7981087, 24.0514027 49.7980734, 24.0514288 49.7980582, 24.0514659 49.7980384, 24.0526944 49.797382)|289,80
