id|geometry:1|length
segment.881e768823fffff-17BD8E4BCCC438D1|LINESTRING (24.005928 49.8463005, 24.0059618 49.8463534, 24.0064179 49.8470659, 24.0065063 49.847204, 24.0065284 49.8472378, 24.0067074 49.8475107)|145,71
segment.8b1e76880294fff-17FBBF252EEF88C5|LINESTRING (24.0197292 49.8599862, 24.0197534 49.8599414, 24.0198138 49.8598318)|18,21
segment.8c1e7689b1431ff-17FFEB3AA9E9A4A7|LINESTRING (24.0443501 49.7948321, 24.0444134 49.7947738)|7,92
segment.881e76893bfffff-17F9ADEE43F3C44B|LINESTRING (23.9647712 49.819253, 23.9649136 49.8193024, 23.9652803 49.8194224, 23.9658272 49.8196014, 23.9662336 49.8197485, 23.9674228 49.8201787, 23.9675685 49.8202294, 23.967655 49.8202595, 23.9680051 49.8203813, 23.9682758 49.8204755, 23.9686057 49.8205902, 23.9689158 49.8206981)|338,02
segment.871e76892ffffff-17DAE4F18EF84740|LINESTRING (23.9365152 49.8163641, 23.9374826 49.8174356, 23.9363042 49.817896)|236,72
segment.891e768856bffff-17FFE7979D341E51|LINESTRING (24.0291095 49.8741194, 24.0298468 49.8738886, 24.0302574 49.8735693, 24.0303353 49.8733942)|125,11
segment.8a1e7689d80ffff-17BFFA79E08D1AC5|LINESTRING (24.0440877 49.8362809, 24.044059 49.8362381)|5,19
segment.8a1e7689c037fff-179BD061366515A0|LINESTRING (24.0070585 49.8299923, 24.0072333 49.8300706, 24.0072186 49.8300832, 24.0072626 49.8301063)|21,09
segment.891e76126cbffff-17FAD216E6CAC2EF|LINESTRING (24.0593533 49.7911933, 24.0594453 49.7912413, 24.0596555 49.7912716, 24.0597533 49.7913166, 24.0598983 49.7913832, 24.0600374 49.7914513, 24.0603046 49.7915822, 24.0606782 49.7917058, 24.0610845 49.7917239, 24.0611962 49.7917914, 24.0612433 49.7918345)|158,18
segment.881e7689d9fffff-17F9ED1DB0D195B7|LINESTRING (24.0454748 49.8375563, 24.0453029 49.8373507, 24.0448532 49.8368127, 24.044844 49.8368024, 24.0448339 49.8367911)|96,71
segment.881e7689ddfffff-179FD3E1BFE015FF|LINESTRING (24.0345356 49.832565, 24.0347209 49.8325375, 24.0349521 49.8325035, 24.0350197 49.8324936, 24.0351018 49.8324816)|41,66
segment.8a1e7689db2ffff-179FFFE207B9D2CB|LINESTRING (24.0527944 49.8366496, 24.0528114 49.8367919, 24.0529169 49.8370142)|41,72
segment.8a1e76890427fff-17D8D122CC708B35|LINESTRING (23.9290992 49.8285896, 23.9290833 49.8282879, 23.9290515 49.8279325, 23.9290133 49.8279134, 23.9285251 49.8279221, 23.9285016 49.8279498, 23.9284915 49.8282836, 23.928515 49.828301)|154,85
segment.881e76883bfffff-17DFD5A72C65D332|LINESTRING (24.0359241 49.8531346, 24.0351644 49.8530525)|55,22
segment.891e7688333ffff-179DFCF76F1DE2D8|LINESTRING (24.0388429 49.8466185, 24.0382367 49.8466842)|44,08
segment.891e768836bffff-17FFF3D39B8A2FE3|LINESTRING (24.0280518 49.837373, 24.0280674 49.8373563, 24.0283823 49.8370203, 24.0284332 49.836966)|52,88
segment.8a1e7612644ffff-17DEFF6AAC754CA7|LINESTRING (24.0719576 49.7857873, 24.0726652 49.7856844)|52,07
segment.891e76d49d7ffff-179BDB5CF7E2A719|LINESTRING (23.8804521 49.8581947, 23.8807412 49.8580414)|26,83
segment.871e76883ffffff-179FD3BE0AE4C573|LINESTRING (24.0353067 49.8480408, 24.0352421 49.8479285, 24.0348793 49.8476113, 24.0347367 49.8474867, 24.0347004 49.8474416, 24.0345786 49.8472903, 24.034167 49.8470119)|141,74
segment.8b1e76883676fff-17B9CDEF9122DA8B|LINESTRING (24.0323266 49.8395427, 24.0324399 49.8395133)|8,76
segment.891e7689a33ffff-179BE741342D459F|LINESTRING (24.016916 49.7929647, 24.0163483 49.7926772, 24.0161629 49.7925834)|68,70
segment.8a1e7613641ffff-17D9701F0FA5FF81|LINESTRING (23.993545 49.7520589, 23.9943686 49.7521746)|60,55
segment.8c1e76899d56bff-17D9F531291F68E9|LINESTRING (24.048385 49.8150123, 24.0485401 49.815044)|11,67
segment.871e7688effffff-179E700B4EFCDD50|LINESTRING (24.0607268 49.8398411, 24.0601303 49.8401915, 24.0594156 49.8406113, 24.0591708 49.8407127, 24.0585742 49.8408905, 24.0581282 49.8410234)|230,41
segment.8a1e7688226ffff-179D9BDDC98D59AB|LINESTRING (24.0119396 49.8463771, 24.0118239 49.8461094, 24.01181 49.8460773)|34,61
segment.8b1e76883456fff-17FFB094C42BB277|LINESTRING (24.0203443 49.8417588, 24.0203587 49.8417177, 24.0203688 49.8416817, 24.020374 49.8416655)|10,59
segment.891e768b407ffff-17FAFF3EBE1CADC1|LINESTRING (23.9154061 49.9056253, 23.9150448 49.9050861, 23.9145033 49.9042782)|163,15
segment.891e7688a3bffff-179E4E811854A049|LINESTRING (24.0852141 49.8253037, 24.0852729 49.8253589, 24.0850412 49.8254787, 24.0848856 49.825567, 24.0848427 49.8255722, 24.0848105 49.8256293, 24.0851372 49.8256779, 24.0852053 49.8256875, 24.08524 49.8256924)|85,10
segment.8a1e768b335ffff-17B9987727B3AC4D|LINESTRING (23.957904 49.8664647, 23.958202 49.8662216)|34,45
segment.881e768b19fffff-17FBD8AA73F9C2A6|LINESTRING (23.9575907 49.8946043, 23.9576228 49.8941092, 23.9576872 49.8939572, 23.9578159 49.8939088, 23.9587279 49.8937775, 23.9588459 49.8933835)|194,85
segment.8b1e76899db3fff-17FBE43503072EC5|LINESTRING (24.041678 49.8133781, 24.0415939 49.8131625, 24.0412448 49.8131463)|49,83
segment.891e76125b7ffff-17FBD904E03CBB9F|LINESTRING (24.1415123 49.8160009, 24.1415583 49.8159769, 24.1420489 49.8157207)|49,53
segment.8b1e76134945fff-179BF8C0764B3674|LINESTRING (24.0236179 49.7856293, 24.0237946 49.7856052)|12,97
segment.8e1e7688e630607-17FF787FFFEE28A4|LINESTRING (24.0629345 49.8386372, 24.0629148 49.8386216)|2,24
segment.891e7689ddbffff-17DBFC2BE8299703|LINESTRING (24.0252759 49.8318445, 24.0252445 49.8316803, 24.0250238 49.8311986, 24.0248522 49.8310356)|96,16
segment.891e76c65a3ffff-17FFB839B7078BF8|LINESTRING (23.8988496 49.8203086, 23.899095 49.8204439)|23,16
segment.891e7688433ffff-17D9DC67A00516BC|LINESTRING (24.0062117 49.8826415, 24.0059295 49.882672, 24.0057333 49.8826369, 24.0055642 49.8826369, 24.0053461 49.8826439, 24.0052316 49.8827142, 24.0051826 49.8827985, 24.0051826 49.8829074, 24.0052044 49.8830163, 24.0053243 49.8830831, 24.0054661 49.8831463, 24.0055923 49.8832163)|144,15
segment.891e7688107ffff-17DFFC45E7E5F0F9|LINESTRING (24.0514409 49.8640229, 24.051285 49.8638994)|17,70
segment.891e7689387ffff-179FDB7958F5BA54|LINESTRING (23.9599956 49.8209669, 23.9590345 49.8211295, 23.9590102 49.8211392, 23.9589621 49.8211892, 23.95895 49.8212541, 23.9591297 49.8219422)|164,73
segment.881e768b39fffff-17FDFC8BCF7003CE|LINESTRING (23.9403301 49.8774169, 23.9401044 49.8761092, 23.9400991 49.8761005, 23.9400879 49.8760947, 23.9400736 49.8760933, 23.9398438 49.8761098, 23.9398304 49.8761132, 23.9398213 49.8761204, 23.9398192 49.8761296, 23.9399876 49.8771062, 23.9400168 49.8772756, 23.9400723 49.877441)|316,11
segment.8a1e76895ad7fff-17D934F0C204F9E9|LINESTRING (23.9699558 49.850654, 23.9695776 49.8506082, 23.9694764 49.8506044)|34,86
segment.891e768822fffff-17D9DC1B92F4099C|LINESTRING (24.0054165 49.8425179, 24.0054178 49.8425661, 24.0054193 49.8426229, 24.0054219 49.842713, 24.0054236 49.8427871)|29,94
segment.8b1e76891448fff-17B977A3EBF402EE|LINESTRING (23.970821 49.8254756, 23.9708221 49.8254267, 23.9708231 49.8253413)|14,93
segment.891e7689143ffff-17DF35F65964DE81|LINESTRING (23.9632368 49.8258411, 23.9637699 49.8258987, 23.9639255 49.8259185)|50,15
segment.871e7689bffffff-17FBF135B3D349E3|LINESTRING (24.0403643 49.7963025, 24.0403774 49.7963625, 24.0404197 49.7964973, 24.0403926 49.7965424, 24.040299 49.7966698, 24.0402305 49.7967761, 24.0400885 49.7968094, 24.0400028 49.7968417)|73,86
segment.8a1e768b3777fff-179FFA689DA97F15|LINESTRING (23.9453713 49.8635532, 23.9460292 49.8634145, 23.946112 49.863397)|55,86
segment.8a1e76893337fff-17FBA671DA2A7422|LINESTRING (23.9635315 49.8136862, 23.9636951 49.8135177, 23.9638681 49.8133396, 23.9640263 49.8131767)|66,86
segment.8a1e7689cc8ffff-179F75E01158CC15|LINESTRING (23.9965093 49.8295471, 23.9961181 49.829327)|37,23
segment.8b1e7689ab6afff-17DBB0DAF1992F8D|LINESTRING (24.0205881 49.8015351, 24.0203557 49.8014717)|18,11
segment.8a1e7688e6effff-179B75D14CED1DD2|LINESTRING (24.0683153 49.8360252, 24.0683393 49.836097, 24.0683961 49.8362674, 24.0684606 49.836375)|40,38
segment.8c1e761231311ff-179FBBCE4DA8CF52|LINESTRING (24.1231713 49.7750043, 24.1233512 49.7749466)|14,42
segment.891e76893afffff-179FEF7FBFC685A7|LINESTRING (23.9669564 49.8159905, 23.9670517 49.8159265, 23.9672019 49.8158469, 23.9673655 49.8157629, 23.9674376 49.8157281, 23.9675707 49.8156677, 23.9676106 49.8156473, 23.9677839 49.8155561, 23.9678118 49.8155519, 23.967922 49.8155353, 23.9680461 49.8155219)|95,85
segment.8a1e76895737fff-17DB75726C835A91|LINESTRING (23.9567655 49.8446811, 23.9568677 49.8447728)|12,56
segment.891e7689667ffff-17B9A987AF96C500|LINESTRING (23.9119779 49.8245968, 23.9125212 49.8247545, 23.9132489 49.8249728)|100,31
segment.8a1e76898baffff-17DDFCE813E4ABE4|LINESTRING (24.0317424 49.8167701, 24.0321809 49.8169073)|34,96
segment.891e7689907ffff-17DB20FF0458F0B3|LINESTRING (24.0664238 49.809193, 24.0663857 49.8101385)|105,17
segment.891e768aa33ffff-17FBF3BB6577D697|LINESTRING (24.0745627 49.8827346, 24.0735953 49.8829868)|74,77
segment.8b1e7689c409fff-17FDB2F9AA8F45E7|LINESTRING (24.0016189 49.8245075, 24.0017399 49.8244787)|9,25
segment.8a1e76883137fff-17FBFA3FFFA1CC37|LINESTRING (24.024313 49.8505528, 24.0243146 49.8504801, 24.0243358 49.8503998)|17,14
segment.8a1e7689628ffff-17BCF369CB1D0411|LINESTRING (23.9171683 49.82685, 23.9171164 49.8268515, 23.9163019 49.8268584, 23.9162484 49.8268436, 23.9162377 49.8267442)|77,41
segment.891e768b227ffff-17BAC6AFB527F1B8|LINESTRING (23.9251408 49.8656096, 23.924607 49.8656511, 23.924481 49.8658102, 23.924363 49.8659381, 23.9243683 49.8660626, 23.9243925 49.8664343, 23.9242907 49.8666692)|157,28
segment.871e76898ffffff-17BFDA9FB2AA9D43|LINESTRING (24.0364289 49.8126993, 24.0365003 49.8126747, 24.0373709 49.8123704, 24.0373985 49.8123607, 24.0379062 49.8121852, 24.0383649 49.8120317, 24.0386669 49.8119277, 24.0387331 49.8119049)|187,46
segment.881e76893dfffff-179BF0DD06B83043|LINESTRING (23.9421131 49.8122323, 23.9423311 49.8126675, 23.9423525 49.8127384, 23.9423257 49.8128129, 23.9416739 49.8132611, 23.940998 49.8137025)|204,74
segment.8b1e76882cd9fff-179978598881E999|LINESTRING (23.9842331 49.8474033, 23.9842138 49.8474799, 23.9842007 49.8474964)|10,69
segment.871e76898ffffff-17FFFEBC7AF9A8DC|LINESTRING (24.0370948 49.8134062, 24.0371774 49.8133644, 24.0373155 49.8133062, 24.0381881 49.8129873, 24.0387148 49.8127949, 24.0392738 49.8126019, 24.0399055 49.812372, 24.040583 49.8121432, 24.0411073 49.8119595, 24.04131 49.8118882, 24.041447 49.811841)|357,66
segment.871e76c65ffffff-17DDF64CAF6905C7|LINESTRING (23.8921218 49.8232778, 23.8911377 49.8227179)|94,13
segment.8a1e76c6584ffff-179C74BF2E0C63BF|LINESTRING (23.8911377 49.8227179, 23.8908498 49.8226846)|20,98
segment.8a1e76899a47fff-17FB78303547855A|LINESTRING (24.0759651 49.8150245, 24.0758434 49.8150601)|9,59
segment.8a1e7689134ffff-17BF68604870FA2E|LINESTRING (23.9905718 49.8299828, 23.9907861 49.8299224, 23.9909973 49.8298656)|33,19
segment.891e7688223ffff-17DFF1764F611E1E|LINESTRING (24.0076883 49.8456273, 24.0076398 49.8455616, 24.0075992 49.8455107, 24.0075359 49.8454334)|24,18
segment.881e768a31fffff-17F9A9A035BF9105|LINESTRING (24.0176362 49.9023948, 24.0173851 49.9026131)|30,21
segment.861e76887ffffff-17BBED76F28A65AA|LINESTRING (24.0361723 49.8567194, 24.0355162 49.8568592, 24.0351627 49.8568867, 24.0345718 49.8568162, 24.0337497 49.8567109, 24.0329808 49.8566297, 24.0327507 49.8566038, 24.0324652 49.8565727, 24.0320672 49.8565031, 24.0318346 49.8564617, 24.0309288 49.8562153, 24.0308953 49.8562062, 24.0299364 49.855889, 24.0291355 49.8555619, 24.0283148 49.8552353)|605,90
segment.8b1e7689c544fff-17FBA19AE9C7EB1D|LINESTRING (24.0011753 49.8277039, 24.0010611 49.8277797)|11,75
segment.8a1e7689878ffff-17BBFA590738A8BF|LINESTRING (24.0235919 49.8027516, 24.0239433 49.8027535, 24.0242187 49.8028687, 24.0247797 49.8028572, 24.0248268 49.8033362)|142,42
segment.891e7688a0fffff-17BF6429CDE74400|LINESTRING (24.0809456 49.8245565, 24.0806832 49.8242167, 24.0806725 49.8242033)|43,89
segment.8a1e761222cffff-17DED76BE2F30A13|LINESTRING (24.1084816 49.7671886, 24.1082348 49.7669884)|28,46
segment.8a1e76898c9ffff-17DDBA8553C7B929|LINESTRING (24.0111814 49.8101945, 24.0111431 49.8102581, 24.0112431 49.810284, 24.0112705 49.8102911, 24.0112993 49.8102985, 24.011367 49.810316, 24.0115075 49.8103523, 24.0115599 49.8103659)|39,81
segment.891e76882cbffff-179FDBF2B60CCAF2|LINESTRING (23.9793909 49.8481637, 23.9788896 49.8480364)|38,63
segment.861e768afffffff-17DE714E3EFDB9A4|LINESTRING (24.0976068 49.9067045, 24.0979742 49.9066583, 24.0982395 49.906625, 24.0985503 49.9065859, 24.0988647 49.9065464, 24.0992107 49.9065029, 24.0994143 49.9064773, 24.0995756 49.906512, 24.1004607 49.9074034, 24.1001791 49.9074379, 24.1000932 49.9074172, 24.0997907 49.9074323, 24.0994552 49.9074491, 24.0992993 49.9074569, 24.0988192 49.9074327, 24.0987307 49.9073576)|390,80
segment.881e768891fffff-17DAE34E62A1F88D|LINESTRING (24.132805 49.844355, 24.1329123 49.8451035, 24.1329898 49.8454294)|120,25
segment.871e76899ffffff-17BDFD2C6466D6EE|LINESTRING (24.0529989 49.8156629, 24.0530614 49.8155305, 24.0530472 49.8151303, 24.053009 49.8150634, 24.0529503 49.815003, 24.0526203 49.8149179, 24.0522921 49.8148347, 24.0519604 49.8147693, 24.0518246 49.8147515, 24.051682 49.8147405, 24.0514939 49.8147305, 24.0513093 49.8147361, 24.0510446 49.8147571, 24.050803 49.8148119, 24.0505808 49.8148892, 24.0500049 49.8152868)|314,63
segment.891e7688497ffff-17DDF5D643DE6A76|LINESTRING (23.9965412 49.8932323, 23.9963008 49.8932306, 23.9960548 49.8932273)|34,85
segment.891e7689e9bffff-17FB596FAE4C08F4|LINESTRING (23.9848319 49.8195259, 23.9846022 49.8192939, 23.9844981 49.8191888)|44,48
segment.891e7689b53ffff-17FFF5924BF30985|LINESTRING (24.0281737 49.7904358, 24.0297406 49.7901312)|117,47
segment.8b1e7689c730fff-17FDD04477C9B837|LINESTRING (24.007303 49.8250417, 24.0069447 49.8251513)|28,45
segment.891e768921bffff-17B9F2B2C69F3295|LINESTRING (23.9168494 49.8147324, 23.9165698 49.8146605, 23.91597 49.8138726)|119,21
segment.881e768919fffff-17FB7A971866A2E2|LINESTRING (23.9743563 49.8388853, 23.9741772 49.8388718, 23.9738661 49.8388483, 23.973664 49.8388331, 23.9735055 49.8388162, 23.9733609 49.8388008, 23.9732644 49.8387783, 23.9731919 49.8387351, 23.9731007 49.8386486, 23.9730149 49.8386209, 23.9728013 49.8386093, 23.9718558 49.8385578, 23.971699 49.8385455, 23.9715538 49.8385341, 23.9711583 49.8385031, 23.9704134 49.8384446, 23.9702802 49.8384136, 23.9698181 49.8383775, 23.9696815 49.8383673)|345,99
segment.891e768836fffff-17DFD024A54E0BA4|LINESTRING (24.0336019 49.8370233, 24.0335404 49.8371113, 24.0333961 49.8373408, 24.0332885 49.8375268, 24.0331731 49.8377203, 24.0330481 49.8379349, 24.0329727 49.8380347)|121,23
segment.8a1e7689e2cffff-17F9D11158296584|LINESTRING (24.007366 49.8065209, 24.0075374 49.8063617)|21,56
segment.8a1e7689cb8ffff-17BDE5E74A2877B5|LINESTRING (24.0159796 49.834106, 24.0159924 49.8342871)|20,16
segment.891e768b387ffff-17BAFBE12E6CC52D|LINESTRING (23.9464198 49.8752518, 23.9463531 49.8750417, 23.9463182 49.8748947, 23.9462833 49.8747547, 23.9462994 49.8747115, 23.9462672 49.8745542, 23.9462967 49.8744401, 23.9463826 49.8744056, 23.9465328 49.8743502)|111,25
segment.881e768895fffff-17BEDFB6AF6906AF|LINESTRING (24.1195436 49.8392833, 24.1194387 49.8392582, 24.1191289 49.8391994, 24.1187848 49.8391582, 24.117066 49.8390214)|180,48
segment.881e7688a9fffff-17BF703889190950|LINESTRING (24.0709307 49.8338894, 24.0722877 49.8337491, 24.0732325 49.8335161, 24.0738601 49.8333228, 24.0739294 49.833262, 24.0739587 49.8331861, 24.0740509 49.8328502)|276,02
segment.8a1e768989a7fff-17F9EB63D38D9549|LINESTRING (24.0179883 49.8204988, 24.0184782 49.8203132)|40,76
segment.8a1e76898adffff-17BDDAAAE9E75207|LINESTRING (24.0377099 49.8126407, 24.0375226 49.8124249, 24.0374857 49.8123842)|32,75
segment.8d1e768952f267f-17DB384F91EC0CC3|LINESTRING (23.9711168 49.8436781, 23.971077 49.8436534)|3,96
segment.8a1e7688614ffff-17BDD12184CF3765|LINESTRING (23.981198 49.8687644, 23.9813284 49.8692851)|58,65
segment.8a1e76891627fff-17997478F6536FBE|LINESTRING (23.9763555 49.8242435, 23.9758011 49.8243722)|42,27
segment.891e7688373ffff-17DFC0B7BE1F85D7|LINESTRING (24.0266758 49.8421906, 24.0267814 49.8422123, 24.0268954 49.8422355, 24.0272625 49.84231)|44,12
segment.891e7689d13ffff-17FFF29DB779028B|LINESTRING (24.040734 49.8300962, 24.0409738 49.8303655)|34,53
segment.871e7688effffff-17BE3CD86802C33F|LINESTRING (24.0702563 49.8379115, 24.0702483 49.8376728, 24.0704037 49.8376594, 24.070438 49.8376512, 24.0704636 49.8376343, 24.0704756 49.837612, 24.070478 49.8375984, 24.0704828 49.8375855, 24.0704923 49.8375738, 24.070506 49.8375639, 24.0705187 49.8375567, 24.0705377 49.8375487, 24.0705594 49.8375442, 24.0705821 49.8375437, 24.0709325 49.8375651, 24.0709748 49.8375692, 24.0710256 49.8375775, 24.0710913 49.8375918, 24.0714285 49.8376832, 24.0719488 49.8378302, 24.0722975 49.8379271, 24.0724906 49.8379946)|204,70
segment.8b1e768958d3fff-17DF97B3803C1BDC|LINESTRING (23.9576108 49.8535359, 23.9578691 49.8535473)|18,56
segment.891e768aa6bffff-17BBF106E64077D9|LINESTRING (24.065761 49.8715757, 24.0670738 49.8725904)|146,91
segment.871e768b5ffffff-17FCFBEF22312299|LINESTRING (23.9496323 49.9136069, 23.9496213 49.9136081, 23.9458488 49.9140203, 23.9444232 49.9142659, 23.9434346 49.9144707, 23.9431214 49.9145356)|478,36
segment.8b1e76891d2cfff-17DB604238E4EDB8|LINESTRING (23.9612071 49.8374202, 23.961283 49.837621)|22,98
segment.8b1e7688301efff-17FFD2AF563F3286|LINESTRING (24.0277747 49.8462259, 24.027775 49.8461607)|7,25
segment.8a1e768812d7fff-179EF07188EC60F4|LINESTRING (24.0591447 49.8582283, 24.0600269 49.8580306, 24.0600977 49.8579922)|73,59
segment.8a1e768822a7fff-17B9F48625B6B8D9|LINESTRING (24.002583 49.8440646, 24.0025909 49.8440985, 24.002633 49.8442784, 24.0020143 49.8443388, 24.0019693 49.844157, 24.0019621 49.8441281)|92,64
segment.8d1e7689cc62cff-179BE1DC50271F44|LINESTRING (24.0012034 49.8333411, 24.0012423 49.833332)|2,97
segment.8b1e76898852fff-179DBFCE3EDBEA56|LINESTRING (24.0265404 49.8179257, 24.0266042 49.817754, 24.0266597 49.8176511)|31,75
segment.891e768ab0bffff-17FBEB2F2D3AA947|LINESTRING (24.0972783 49.877636, 24.0965699 49.8776666, 24.0965611 49.8776702, 24.0965539 49.8776807, 24.0966459 49.8781313)|103,43
segment.871e76c69ffffff-17F970427714DE54|LINESTRING (23.9911455 49.7759952, 23.9917352 49.7758556, 23.9924107 49.7756951, 23.9930111 49.7755381, 23.9936277 49.7753915, 23.9943085 49.7752449, 23.9949486 49.7751157, 23.9956227 49.7749968, 23.9962378 49.7749195, 23.9969065 49.7748318)|434,35
segment.891e768f00fffff-17BF353D0E9CBACC|LINESTRING (24.1729344 49.8751313, 24.1730657 49.8760304)|100,42
segment.8a1e768834effff-179BF1B46EDE23C6|LINESTRING (24.0208236 49.8401617, 24.0209084 49.8402247, 24.0207689 49.8403467, 24.0207649 49.8405046)|43,69
segment.8a1e76893baffff-17DD75496C1A68EF|LINESTRING (23.9632982 49.8191944, 23.9633891 49.8192285, 23.9632557 49.8193795, 23.9631745 49.8193926)|32,88
segment.871e76122ffffff-17DA73D5E7CC3ED2|LINESTRING (24.0887932 49.7763359, 24.0866249 49.7771268, 24.086048 49.777336, 24.0856805 49.7775213)|259,81
segment.8e1e7689d46ab37-17B9E03AB07B6E7B|LINESTRING (24.039883 49.8241955, 24.0398696 49.8241945)|0,97
segment.8a1e76882c8ffff-17BBCFAE3461308F|LINESTRING (23.9807524 49.8480096, 23.9807309 49.8480563, 23.9807095 49.8480771, 23.9806759 49.8481082, 23.9806558 49.848148, 23.9806558 49.8481826, 23.9805622 49.8481653)|27,89
segment.8a1e761368cffff-17FDDC5469150DDA|LINESTRING (24.0058549 49.762367, 24.0057882 49.7622717, 24.0051255 49.7621969)|59,95
segment.8b1e7688046cfff-17FF91CE00A24B3D|LINESTRING (24.0078055 49.8616851, 24.0077016 49.8618814)|23,06
segment.881e768891fffff-17FEBBCCE8212B7B|LINESTRING (24.1309162 49.843268, 24.1306962 49.843313, 24.1305976 49.8433357, 24.1287101 49.8437705)|167,78
segment.8b1e7688332cfff-17BDFE864F35E1FF|LINESTRING (24.0391271 49.8481447, 24.0391955 49.8481473, 24.0392276 49.8481586)|7,54
segment.8d1e7689d5349bf-17BFF621407172C7|LINESTRING (24.0291632 49.827478, 24.0292088 49.8274818)|3,30
segment.891e768953bffff-17BBB983405560B2|LINESTRING (23.9655305 49.8452556, 23.9645636 49.8453014, 23.9645666 49.8453247)|72,12
segment.891e761365bffff-17F9E5FBD5B02BAC|LINESTRING (23.9904924 49.7524893, 23.9891166 49.7522815)|101,51
segment.881e76898bfffff-17D9EF99A177BDD8|LINESTRING (24.0332907 49.814758, 24.0331913 49.8148701, 24.0328402 49.8152745)|65,90
segment.891e7689b27ffff-17DEE96BEE0E5F0F|LINESTRING (24.0562152 49.7892111, 24.0562086 49.7895477, 24.0562094 49.7896078, 24.056204 49.7900055, 24.0562026 49.7900817, 24.0562398 49.7901542, 24.0563662 49.7901856, 24.0566692 49.7901852, 24.0568725 49.790185, 24.0570379 49.7901845, 24.0572187 49.7901839, 24.0574752 49.7903214, 24.0574966 49.790432, 24.0578035 49.7904354)|234,59
segment.891e768d65bffff-17FBF2A9C31AE158|LINESTRING (24.1329243 49.8196573, 24.132793 49.8198201, 24.1327175 49.8201458, 24.1324286 49.8219647)|260,34
segment.891e7613497ffff-17DBB9A6787D09C1|LINESTRING (24.0242614 49.7856408, 24.0242207 49.7856466, 24.0243577 49.7856627, 24.0244192 49.785901, 24.0244292 49.7859409, 24.0234569 49.7860394)|115,00
segment.8a1e768a822ffff-17FEFDEE74B1BC8E|LINESTRING (24.0987844 49.8971633, 24.0984035 49.8971805, 24.0970506 49.8972391)|124,47
segment.8b1e7689b828fff-17FFE2DFF6DB0541|LINESTRING (24.0411627 49.8012327, 24.0409036 49.8011549, 24.0407717 49.8010608)|34,62
segment.871e76124ffffff-179F6C2396BB557E|LINESTRING (24.095555 49.8138537, 24.0959666 49.8138991, 24.0974057 49.8140787, 24.0979421 49.8141964, 24.098264 49.8142587, 24.0983536 49.8142713, 24.0985107 49.8142933, 24.0986449 49.8143279, 24.0988019 49.8143567)|240,09
segment.891e7688203ffff-17D972C805AB93BF|LINESTRING (23.9946983 49.8484641, 23.9947455 49.8484309, 23.9953476 49.8479309, 23.9953953 49.847899)|80,33
segment.8a1e76d49037fff-17F86D01F7F1768F|LINESTRING (23.8875779 49.8523093, 23.8878887 49.8520727, 23.888069 49.8519328)|54,70
segment.8d1e7689325d1bf-17DBFE77462B6B7B|LINESTRING (23.9735904 49.8094955, 23.9736325 49.8094922, 23.9736278 49.8094697)|5,57
segment.8a1e76893b0ffff-17BB6A58972C830E|LINESTRING (23.9654687 49.820311, 23.9654085 49.8202038, 23.9653911 49.8201095, 23.9653866 49.8200851, 23.9653714 49.8200032, 23.9653376 49.8199045, 23.9652692 49.8198209)|56,89
segment.881e76898bfffff-17DFF587AFD7210E|LINESTRING (24.0359804 49.813217, 24.0354991 49.8133738, 24.0350062 49.8135275)|77,97
segment.8a1e768b60e7fff-17DEFADA728E22BE|LINESTRING (23.8931832 49.8859416, 23.8938069 49.8858305)|46,36
segment.891e76d4917ffff-17D873C6C104CE3A|LINESTRING (23.8899372 49.8540432, 23.8907344 49.8533836, 23.8912654 49.8529781)|151,99
segment.891e7688053ffff-179F7C20CF1A7123|LINESTRING (23.9987869 49.8626593, 23.9989627 49.8621636)|56,54
segment.881e768a83fffff-17DBF5B1FFEFD994|LINESTRING (24.1014919 49.8971254, 24.1013801 49.8969198, 24.1012943 49.8967124, 24.1012031 49.896353, 24.1010052 49.895526, 24.1008282 49.8948452, 24.1007584 49.8946344)|282,35
segment.8c1e768834b09ff-179BFF5CE3DD63B8|LINESTRING (24.0132755 49.8405323, 24.0133385 49.8404769)|7,64
segment.891e76125abffff-17DFF04C7BF83F9C|LINESTRING (24.1388955 49.8104406, 24.1388354 49.8104539, 24.1384773 49.8105329, 24.1383889 49.8105789, 24.1382111 49.8106057, 24.1379557 49.8106077, 24.1378535 49.8105816, 24.1378301 49.810502, 24.1376754 49.8102145)|122,03
segment.881e7689b3fffff-17DE3C45BA5F6E75|LINESTRING (24.0579135 49.7879629, 24.0579159 49.7880529, 24.0579175 49.7884281)|51,73
segment.891e7689447ffff-17B8B5DE8D4C1990|LINESTRING (23.9173141 49.8452734, 23.9174965 49.8452181, 23.9177701 49.8452111, 23.9179793 49.8452578, 23.9181161 49.8453599, 23.9181349 49.845455, 23.918092 49.8455605, 23.9179283 49.845666, 23.9177433 49.8457491, 23.9176065 49.8457992, 23.9174965 49.8458061, 23.9173436 49.8457612, 23.9172739 49.8456418, 23.9172175 49.8455242, 23.9172202 49.8454049, 23.9172444 49.845327)|201,74
segment.891e7699b0bffff-1799FC07CD9B378E|LINESTRING (23.9248986 49.9209168, 23.9263539 49.9206158, 23.9281456 49.9203423, 23.92822 49.9203468, 23.9282827 49.9203811, 23.9284632 49.9206547)|285,56
